series_id,item_code,reference_period,projected_factor,factor_year,published_asof
CUSR0000SETB01,SETB01,2025-07-01,1.05820,2025,2025-02-12
CUSR0000SETA02,SETA02,2025-07-01,1.02597,2025,2025-02-12
