check_date,days_to_print,realized_status,call_bp,ledger_hash,note
2026-07-25,5,pending,+7.6,ab0165470397,print not yet published; call stands frozen
2026-07-26,4,pending,+7.6,ab0165470397,print not yet published; call stands frozen
2026-07-30,0,pending,+7.6,ab0165470397,print not yet published; call stands frozen
