instrument,ref_month,release_date,asof,effective_asof,frozen,call_bp,realized_bp,deviation_bp,bench_seasonal_naive_bp,bench_ar1_bp,bench_zero_bp,attribution
cpi_headline,2020-04-01,2020-05-12,2020-05-09,2020-05-08,True,-38.48,-66.87,28.39,30.36,-21.76,0.0,"{'SETB01': -1700.5, 'SETA02': 67.2}"
cpi_core,2020-04-01,2020-05-12,2020-05-09,2020-05-08,True,12.55,-45.75,58.3,20.4,1.65,0.0,"{'SETB01': -1700.5, 'SETA02': 67.2}"
cpi_headline,2020-05-01,2020-06-10,2020-06-07,2020-06-06,True,9.98,0.2,9.78,25.48,-66.87,0.0,"{'SETB01': 152.1, 'SETA02': -54.8}"
cpi_core,2020-05-01,2020-06-10,2020-06-07,2020-06-06,True,-6.21,-10.9,4.69,14.36,-45.75,0.0,"{'SETB01': 152.1, 'SETA02': -54.8}"
cpi_headline,2020-06-01,2020-07-14,2020-07-11,2020-07-10,True,30.52,54.72,-24.2,15.35,0.2,0.0,"{'SETB01': 1097.9, 'SETA02': -567.0}"
cpi_core,2020-06-01,2020-07-14,2020-07-11,2020-07-10,True,-17.28,18.92,-36.21,10.4,-10.9,0.0,"{'SETB01': 1097.9, 'SETA02': -567.0}"
cpi_headline,2020-07-01,2020-08-12,2020-08-09,2020-08-08,True,37.5,50.58,-13.08,-2.66,54.72,0.0,"{'SETB01': 468.3, 'SETA02': 445.2}"
cpi_core,2020-07-01,2020-08-12,2020-08-09,2020-08-08,True,25.76,52.61,-26.85,3.25,18.92,0.0,"{'SETB01': 468.3, 'SETA02': 445.2}"
cpi_headline,2020-08-01,2020-09-11,2020-09-08,2020-09-07,True,32.71,31.53,1.18,10.12,50.58,0.0,"{'SETB01': -3.8, 'SETA02': 444.6}"
cpi_core,2020-08-01,2020-09-11,2020-09-08,2020-09-07,True,41.85,39.33,2.51,14.93,52.61,0.0,"{'SETB01': -3.8, 'SETA02': 444.6}"
cpi_headline,2020-09-01,2020-10-13,2020-10-10,2020-10-09,True,30.41,13.93,16.49,18.08,31.53,0.0,"{'SETB01': 1.5, 'SETA02': 290.3}"
cpi_core,2020-09-01,2020-10-13,2020-10-10,2020-10-09,True,36.96,11.09,25.87,20.83,39.33,0.0,"{'SETB01': 1.5, 'SETA02': 290.3}"
