instrument,ref_month,release_date,asof,effective_asof,frozen,call_bp,realized_bp,deviation_bp,bench_seasonal_naive_bp,bench_ar1_bp,bench_zero_bp,attribution
cpi_core,2025-05-01,2025-06-11,2025-06-08,2025-06-07,True,22.7,21.24,1.47,26.34,27.06,0.0,"{'SETB01': -64.7, 'SETA02': -35.7}"
cpi_headline,2025-06-01,2025-07-15,2025-07-12,2025-07-11,True,35.53,34.09,1.44,43.46,20.89,0.0,"{'SETB01': 0.6, 'SETA02': 135.7}"
cpi_core,2025-06-01,2025-07-15,2025-07-12,2025-07-11,True,28.91,26.11,2.81,31.75,21.24,0.0,"{'SETB01': 0.6, 'SETA02': 135.7}"
cpi_headline,2025-07-01,2025-08-12,2025-08-09,2025-08-08,True,14.32,15.1,-0.78,17.34,34.09,0.0,"{'SETB01': -78.0, 'SETA02': -70.5}"
cpi_core,2025-07-01,2025-08-12,2025-08-09,2025-08-08,True,14.53,18.76,-4.23,19.95,26.11,0.0,"{'SETB01': -78.0, 'SETA02': -70.5}"
cpi_headline,2025-08-01,2025-09-11,2025-09-08,2025-09-07,True,22.34,28.73,-6.39,16.93,15.1,0.0,"{'SETB01': 23.9, 'SETA02': 78.9}"
cpi_core,2025-08-01,2025-09-11,2025-09-08,2025-09-07,True,23.71,30.09,-6.38,25.15,18.76,0.0,"{'SETB01': 23.9, 'SETA02': 78.9}"
cpi_headline,2025-09-01,2025-10-24,2025-10-21,2025-10-20,True,32.27,25.43,6.83,21.99,28.73,0.0,"{'SETB01': 102.0, 'SETA02': -26.3}"
cpi_core,2025-09-01,2025-10-24,2025-10-21,2025-10-20,True,29.49,25.28,4.22,21.6,30.09,0.0,"{'SETB01': 102.0, 'SETA02': -26.3}"
cpi_headline,2025-12-01,2026-01-13,2026-01-10,2026-01-09,True,-5.85,-2.1,-3.76,-5.48,,0.0,"{'SETB01': -490.8, 'SETA02': -99.7}"
cpi_core,2025-12-01,2026-01-13,2026-01-10,2026-01-09,True,3.53,2.45,1.07,6.94,,0.0,"{'SETB01': -490.8, 'SETA02': -99.7}"
cpi_headline,2026-01-01,2026-02-13,2026-02-10,2026-02-09,True,50.32,36.97,13.36,54.86,-2.1,0.0,"{'SETB01': -286.4, 'SETA02': 62.7}"
cpi_core,2026-01-01,2026-02-13,2026-02-10,2026-02-09,True,54.36,43.69,10.67,48.73,2.45,0.0,"{'SETB01': -286.4, 'SETA02': 62.7}"
cpi_headline,2026-02-01,2026-03-11,2026-03-08,2026-03-07,True,55.44,47.13,8.31,52.91,36.97,0.0,{'SETB01': 340.2}
cpi_core,2026-02-01,2026-03-11,2026-03-08,2026-03-07,True,52.8,38.92,13.88,50.79,43.69,0.0,{'SETB01': 340.2}
cpi_headline,2026-03-01,2026-04-10,2026-04-07,2026-04-06,True,101.2,104.9,-3.7,47.73,47.13,0.0,{'SETB01': 2423.2}
cpi_core,2026-03-01,2026-04-10,2026-04-07,2026-04-06,True,28.91,34.48,-5.56,33.06,38.92,0.0,{'SETB01': 2423.2}
cpi_headline,2026-04-01,2026-05-12,2026-05-09,2026-05-08,True,63.84,85.01,-21.17,35.56,104.9,0.0,{'SETB01': 1233.3}
cpi_core,2026-04-01,2026-05-12,2026-05-09,2026-05-08,True,24.67,42.23,-17.56,28.42,34.48,0.0,{'SETB01': 1233.3}
cpi_headline,2026-05-01,2026-06-10,2026-06-07,2026-06-06,True,59.22,63.15,-3.93,39.52,85.01,0.0,{'SETB01': 886.2}
cpi_core,2026-05-01,2026-06-10,2026-06-07,2026-06-06,True,28.67,31.06,-2.39,28.03,42.23,0.0,{'SETB01': 886.2}
cpi_headline,2026-06-01,2026-07-14,2026-07-11,2026-07-10,True,7.47,-34.94,42.41,46.58,63.15,0.0,{'SETB01': -925.6}
cpi_core,2026-06-01,2026-07-14,2026-07-11,2026-07-10,True,28.36,1.07,27.29,34.12,31.06,0.0,{'SETB01': -925.6}
